id_stacji	stacja	data_pomiaru	godzina_pomiaru	temperatura	predkosc_wiatru	kierunek_wiatru	wilgotnosc_wzgledna	suma_opadu	cisnienie	CO	NO2	PM10	PM2.5	C6H6	NO2	O3	PM10	SO2	C6H6	C6H6	CO	NO2	PM10	PM2.5	SO2	
12566	Kraków	2022-01-26	23	1.3	6	250	91.0	1.1	1024.9	627.93	23.3009	42.7433	35.2569	1.10731	20.0218	18.5838	39.1901	8.49205	0.29016	0.63597	698.86	20.2863	28.9991	23.6847	7.3142	
12566	Kraków	2022-01-27	0	0.8	5	240	91.6	1.1	1024.6	604.72	22.5876	39.4493	32.4619	0.78827	19.7279	18.3763	38.1065	8.48909	0.21816	0.71788	674.52	17.4475	26.4343	21.8195	8.10236	
12566	Kraków	2022-01-27	1	0.7	5	250	93.6	1.1	1024.8	604.72	22.5876	39.4493	32.4619	0.78827	19.7279	18.3763	38.1065	8.48909	0.21816	0.71788	674.52	17.4475	26.4343	21.8195	8.10236	
12566	Kraków	2022-01-27	2	0.6	5	230	93.0	1.1	1024.4	555.8199999999999	18.9957	30.493	24.9642	0.66773	12.4131	25.1094	21.3168	6.8229	0.42331	0.76951	696.9300000000001	15.5144	26.3805	22.3246	6.91304	
12566	Kraków	2022-01-27	3	0.3	6	230	95.0	1.1	1024.1	507.49	17.2415	27.6667	22.5261	0.46281	13.9741	24.5747	15.8903	7.49012	0.1602	0.64286	648.54	11.4157	21.5242	18.0126	6.15875	
12566	Kraków	2022-01-27	4	0.2	6	230	95.0	1.1	1023.6	514.86	22.2764	26.8787	21.7411	0.37262	15.5217	23.8569	21.256	8.6317	0.15561	0.48126	639.1	10.1224	20.847	17.3993	6.76259	
12566	Kraków	2022-01-27	5	0.2	5	230	95.7	1.1	1023.3	555.59	25.0193	26.2287	21.0158	0.33859	19.1439	21.6394	14.39	8.3258	0.0	0.40315	651.77	12.8959	18.7432	15.2409	6.61157	
12566	Kraków	2022-01-27	6	0.3	5	220	93.6	0.5	1023	688.6999999999999	36.5908	26.7087	21.3153	0.42606	24.0078	17.6167	17.5738	7.98222	0.0	0.41765	679.59	16.3704	19.5294	15.9126	7.17654	
12566	Kraków	2022-01-27	7	0.4	4	220	92.3	0.5	1022.2	831.26	49.0423	35.7203	25.8572	0.67602	35.9716	8.89076	13.761	9.27971	0.39384	0.4802	747.25	22.9891	21.9907	17.5725	9.378	
12566	Kraków	2022-01-27	8	0.8	5	240	89.0	0.5	1021.6	937.63	51.8003	33.339	26.0725	0.80944	42.8219	6.59889	24.952	9.57083	0.89172	0.42198	814.48	30.0497	24.0246	18.6528	11.1736	
12566	Kraków	2022-01-27	9	1.3	5	230	87.1	0.5	1021.2	828.47	46.4281	31.021	24.7911	0.93594	31.0286	12.9408	18.9026	10.8742	0.67698	0.71861	789.76	27.749	26.3079	20.5228	13.1166	
12566	Kraków	2022-01-27	10	1.8	7	230	84.6	0.5	1020.5	790.07	39.8418	31.248	25.22	0.7774	30.2277	14.044	25.1727	14.1157	0.45936	0.65734	767.51	24.1024	25.6778	20.3083	12.133	
12566	Kraków	2022-01-27	11	1.5	9	230	82.1	0.5	1019.3	682.53	32.7605	27.4433	20.9803	0.77876	23.9908	18.0797	22.004	12.7503	0.24192	0.81569	731.72	20.3904	24.3976	18.99	11.349	
12566	Kraków	2022-01-27	12	1.6	8	240	79.7	0.5	1018.8	663.8100000000001	35.414	30.7287	19.3133	0.56864	24.1512	19.0416	20.4552	12.7643	0.51246	0.60132	702.6700000000001	19.5943	19.4696	14.9016	7.56348	
12566	Kraków	2022-01-27	13	1.6	8	230	79.7	0.5	1017.4	667.86	36.7874	45.4313	21.8239	0.67583	24.8006	20.6253	18.1975	9.94471	0.86868	0.53605	704.23	20.3097	17.8404	12.4028	7.17869	
12566	Kraków	2022-01-27	14	1.6	7	240	79.7	0.5	1016.7	728.26	48.8967	56.8907	24.71	0.62183	30.7105	16.8182	18.8354	11.3286	0.80118	0.56609	718.75	23.764	20.0425	14.1007	7.61418	
12566	Kraków	2022-01-27	15	1.6	7	240	82.7	0.5	1016.6	874.8000000000001	53.7309	30.0723	22.5956	0.82023	38.1111	13.3288	27.0762	10.4671	0.36792	0.7806	767.22	29.2308	22.1237	17.2591	6.1196	
12566	Kraków	2022-01-27	16	0.7	7	230	93.0	0.5	1016.5	789.35	50.1146	32.2553	25.1794	1.11448	34.5498	15.1377	24.8535	9.72526	0.60516	0.80422	778.38	30.5585	23.7102	19.4032	7.14205	
12566	Kraków	2022-01-27	17	0.7	8	230	95.0	0.5	1016.3	813.9	43.6483	35.5403	27.9367	0.9824	39.4111	11.1077	26.0995	10.057	0.3924	0.65782	794.2099999999999	27.1574	25.7972	20.951	6.83866	
12566	Kraków	2022-01-27	18	1.1	8	230	93.0	0.5	1015.9	755.95	38.7079	31.0723	25.0447	1.0495	35.1415	12.7065	29.8879	10.1449	0.2268	0.79854	783.6999999999999	24.7078	26.6502	22.4586	6.83258	
12566	Kraków	2022-01-27	19	1.3	7	230	93.0	0.5	1015.7	704.47	28.2822	25.9367	21.1375	0.74145	34.4574	12.4839	37.5549	9.56048	0.28692	0.61081	740.34	19.0064	20.016	16.8995	5.39417	
12566	Kraków	2022-01-27	20	1.6	8	230	91.7	0.5	1015.1	694.98	29.4151	25.562	20.4761	0.66542	29.3104	14.3704	31.584	8.12261	0.30312	0.60655	748.67	19.2006	20.1304	16.6472	5.69815	
12566	Kraków	2022-01-27	21	1.8	8	230	89.7	0.5	1014.9	727.24	30.1542	23.4397	18.985	0.68399	27.8302	14.1861	21.7704	8.33467	0.34488	0.55026	796.91	25.5496	21.7964	17.5068	6.81975	
12566	Kraków	2022-01-27	22	2.3	9	240	87.2	0.5	1014.6	664.6300000000001	24.2921	20.9987	16.8269	0.67479	25.197	15.8189	20.7345	9.49029	0.23256	0.728	796.45	20.1084	18.6903	15.3241	7.70336	
12566	Kraków	2022-01-27	23	2.1	8	230	87.1	0.5	1014.1	611.98	17.2972	14.7607	12.1519	0.59794	20.0096	19.7227	19.7017	10.3925	0.63864	0.53316	759.17	15.365	14.3295	12.0588	7.37509	
12566	Kraków	2022-01-28	0	2.1	10	240	89.7	0.5	1013.6	585.7099999999999	15.0182	13.469	11.0683	0.46495	16.9164	21.582	17.6673	9.73782	0.4806	0.5422	733.36	11.9112	10.6669	8.90596	7.7433	
12566	Kraków	2022-01-28	1	2.3	9	240	87.8	0.5	1013.4	585.7099999999999	15.0182	13.469	11.0683	0.46495	16.9164	21.582	17.6673	9.73782	0.4806	0.5422	733.36	11.9112	10.6669	8.90596	7.7433	
12566	Kraków	2022-01-28	2	2.2	11	230	87.1	0.5	1012.8	517.46	10.8001	13.098	10.7689	0.3616	10.5043	27.3238	12.338	9.69718	0.0	0.32244	679.52	8.93606	11.0207	9.44186	5.27152	
12566	Kraków	2022-01-28	3	2.4	8	240	84.0	0.5	1012.7	500.53999999999996	9.95408	9.513	7.79278	0.32655	9.83618	27.934	10.1525	10.0149	0.0	0.42096	669.13	9.05267	8.4879	7.03712	6.03618	
12566	Kraków	2022-01-28	4	2.6	10	240	82.8	0.5	1012.6	492.59999999999997	11.284	8.22233	6.70694	0.31069	9.56797	28.7485	5.50117	10.238	0.0	0.37644	664.01	8.82519	6.22686	5.25073	5.84327	
12566	Kraków	2022-01-28	5	2.1	11	230	87.1	0.5	1012.6	520.78	16.9531	6.82767	5.34194	0.5243	11.7078	32.3721	4.97412	8.99006	0.0	0.33489	664.3299999999999	12.0254	5.23609	4.00941	5.2838	
12566	Kraków	2022-01-28	6	1.1	9	230	93.0	1.5	1013.3	570.43	30.0981	9.811	6.99444	0.34876	13.8827	38.1088	7.90297	4.97198	0.0	0.44596	659.44	13.7977	5.25343	3.49031	5.52848	
12566	Kraków	2022-01-28	7	1.2	8	230	95.0	1.5	1014.1	598.1800000000001	32.0887	9.539	7.27194	0.38871	20.4729	36.6352	7.24698	3.38411	0.0	0.33774	679.26	17.4343	6.05723	4.21716	4.81512	
12566	Kraków	2022-01-28	8	2.3	11	240	87.8	1.5	1014.1	546.6800000000001	34.2285	8.84933	6.92444	0.38415	20.7234	37.8124	5.40866	3.15579	0.0	0.24801	662.07	19.0653	6.67755	4.35081	5.74745	
12566	Kraków	2022-01-28	9	2.1	11	240	89.1	1.5	1015	536.23	32.1039	8.20947	6.33955	0.3683	18.8316	42.5427	5.53571	3.1521	0.0	0.2211	644.73	17.2717	8.16786	4.61496	4.83028	
12566	Kraków	2022-01-28	10	1.4	9	240	93.0	1.5	1015.8	534.0899999999999	29.6139	7.955	6.20806	0.26732	19.5428	43.8009	13.0697	1.87678	0.0	0.22194	629.19	15.911	7.17116	4.43262	4.57222	
12566	Kraków	2022-01-28	11	1.6	8	240	95.1	1.5	1016.2	573.3399999999999	32.4493	10.4768	8.38635	0.33183	22.1426	41.1005	7.6016	1.49477	0.0	0.14197	650.4499999999999	19.9199	9.09132	5.77295	4.23988	
12566	Kraków	2022-01-28	12	1.9	9	250	93.0	1.5	1016.8	572.11	32.0515	12.1032	9.74218	0.36533	24.8682	38.6261	4.56805	1.16227	0.0	0.32071	686.72	26.4929	11.3304	7.73925	5.03008	
12566	Kraków	2022-01-28	13	2.1	7	260	93.0	1.5	1017.3	593.94	39.4212	11.5756	9.34747	0.41354	26.9746	35.9397	3.21493	0.95834	0.00837	0.31443	704.74	31.1863	10.7956	7.7335	4.34974	
12566	Kraków	2022-01-28	14	2.6	7	260	89.1	1.5	1018.3	655.7199999999999	43.814	11.9658	9.71966	0.45559	31.9065	31.7912	3.67736	0.90662	0.40608	0.35698	732.8	30.985	9.49314	7.44156	5.86958	
12566	Kraków	2022-01-28	15	2.8	8	260	85.9	1.5	1019.1	669.11	38.3441	11.4861	9.15794	0.48587	27.0564	35.1946	6.18864	0.85342	0.46035	0.34845	683.6999999999999	20.9677	8.49024	5.76306	4.34651	
12566	Kraków	2022-01-28	16	2.3	5	270	87.8	1.5	1020.4	680.72	39.2438	11.5357	9.13384	0.46898	30.2733	33.1176	15.1008	0.0	0.2835	0.40141	757.42	29.3418	10.3887	7.27666	4.26285	
12566	Kraków	2022-01-28	17	2	6	270	87.8	1.5	1021.3	682.51	32.2538	12.0103	9.53957	0.47494	29.3396	33.0687	10.2851	2.03047	0.1944	0.37517	670.5600000000001	19.9278	10.6705	7.39525	4.27278	
